RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,2000,50,50,20,5,0.1,0,25,8
1,0,2000,50,50,20,5,0.25,0,47,0
2,0,999,50,50,20,5,0.5,0,0,42
3,1,2000,50,50,20,5,0.1,0,18,18
4,1,999,50,50,20,5,0.25,0,0,4
5,1,999,50,50,20,5,0.5,0,0,33
6,2,2000,50,50,20,5,0.1,0,30,0
7,2,999,50,50,20,5,0.25,0,0,35
8,2,2000,50,50,20,5,0.5,0,143,0
0,0,2000,50,50,20,15,0.1,0,18,0
1,0,2000,50,50,20,15,0.25,0,69,8
2,0,2000,50,50,20,15,0.5,0,137,1
3,1,2000,50,50,20,15,0.1,0,24,0
4,1,2000,50,50,20,15,0.25,0,51,3
5,1,2000,50,50,20,15,0.5,0,145,2
6,2,2000,50,50,20,15,0.1,0,24,5
7,2,2000,50,50,20,15,0.25,0,100,5
8,2,2000,50,50,20,15,0.5,0,165,4
0,0,2000,50,50,20,25,0.1,0,18,2
1,0,2000,50,50,20,25,0.25,0,71,11
2,0,2000,50,50,20,25,0.5,0,164,0
3,1,2000,50,50,20,25,0.1,0,17,4
4,1,2000,50,50,20,25,0.25,0,74,0
5,1,2000,50,50,20,25,0.5,0,189,6
6,2,2000,50,50,20,25,0.1,0,27,4
7,2,2000,50,50,20,25,0.25,0,102,6
8,2,2000,50,50,20,25,0.5,0,180,0
