Stoats,Food
15,252
15,242
14,223
14,236
14,238
14,237
13,233
13,226
13,225
13,219
13,213
12,210
12,210
11,204
11,199
11,189
11,179
10,170
10,168
10,168
10,168
10,168
10,159
10,154
10,154
10,154
8,152
7,152
7,152
7,148
7,157
7,167
6,175
6,175
6,169
6,169
5,169
5,163
5,157
5,157
5,157
5,157
5,154
5,153
5,148
5,148
5,148
5,145
5,142
4,142
4,142
4,139
4,139
4,139
4,139
4,139
4,139
4,142
4,148
4,153
4,153
4,153
4,153
4,153
4,153
4,148
3,148
3,148
3,148
3,148
3,148
3,148
3,148
3,144
3,144
3,144
2,144
2,143
2,137
2,137
2,137
2,137
2,137
2,137
2,142
2,153
2,149
2,149
2,149
2,149
2,149
2,149
2,149
2,146
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,144
2,148
2,160
2,160
2,160
2,160
2,156
2,156
2,156
2,156
2,156
2,156
2,156
2,156
2,151
2,151
2,151
2,151
2,151
2,151
2,151
2,142
2,142
2,142
2,142
2,142
2,142
2,137
2,142
2,151
2,154
2,154
2,149
2,148
2,148
2,148
2,148
2,142
2,142
2,142
2,142
2,142
2,142
2,142
2,142
2,137
2,137
2,137
2,137
2,137
2,137
2,132
2,132
2,132
2,132
2,133
1,133
1,133
1,133
1,130
1,130
1,130
1,130
1,130
1,130
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,126
1,130
1,130
1,136
1,136
1,136
1,136
1,136
1,136
1,136
1,136
1,136
1,133
1,133
1,133
1,133
1,133
1,133
1,133
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,132
1,152
1,165
1,165
1,165
1,165
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,170
1,168
1,169
1,169
1,169
1,169
1,169
1,164
1,164
1,164
1,164
1,164
1,164
1,164
1,164
1,164
1,164
1,164
1,159
1,159
1,159
1,159
1,159
1,159
1,159
1,159
1,159
1,168
1,177
1,177
1,177
1,177
1,177
1,177
1,177
1,177
1,177
1,177
1,177
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
1,175
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,179
0,194
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,195
0,205
0,205
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,219
0,229
0,233
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,237
0,239
0,254
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,261
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,267
0,273
0,273
0,280
