RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,2000,50,50,20,5,0.1,0,25,8
1,0,2000,50,50,20,5,0.25,0,47,0
2,0,999,50,50,20,5,0.5,0,0,42
3,1,2000,50,50,20,5,0.1,0,18,18
4,1,999,50,50,20,5,0.25,0,0,4
5,1,999,50,50,20,5,0.5,0,0,33
6,2,2000,50,50,20,5,0.1,0,30,0
7,2,999,50,50,20,5,0.25,0,0,35
8,2,2000,50,50,20,5,0.5,0,143,0
0,0,2000,50,50,20,15,0.1,0,18,0
1,0,2000,50,50,20,15,0.25,0,69,8
2,0,2000,50,50,20,15,0.5,0,137,1
3,1,2000,50,50,20,15,0.1,0,24,0
4,1,2000,50,50,20,15,0.25,0,51,3
5,1,2000,50,50,20,15,0.5,0,145,2
6,2,2000,50,50,20,15,0.1,0,24,5
7,2,2000,50,50,20,15,0.25,0,100,5
8,2,2000,50,50,20,15,0.5,0,165,4
0,0,2000,50,50,20,25,0.1,0,18,2
1,0,2000,50,50,20,25,0.25,0,71,11
2,0,2000,50,50,20,25,0.5,0,164,0
3,1,2000,50,50,20,25,0.1,0,17,4
4,1,2000,50,50,20,25,0.25,0,74,0
5,1,2000,50,50,20,25,0.5,0,189,6
6,2,2000,50,50,20,25,0.1,0,27,4
7,2,2000,50,50,20,25,0.25,0,102,6
8,2,2000,50,50,20,25,0.5,0,180,0
0,0,2000,50,50,20,5,0.1,5,11,0
1,0,999,50,50,20,5,0.25,5,0,10
2,0,999,50,50,20,5,0.5,5,0,42
3,1,2000,50,50,20,5,0.1,5,15,10
4,1,999,50,50,20,5,0.25,5,0,9
5,1,999,50,50,20,5,0.5,5,0,35
6,2,999,50,50,20,5,0.1,5,0,17
7,2,2000,50,50,20,5,0.25,5,44,1
8,2,999,50,50,20,5,0.5,5,0,48
0,0,1360,50,50,20,15,0.1,15,0,3
1,0,999,50,50,20,15,0.25,15,0,22
2,0,2000,50,50,20,15,0.5,15,45,22
3,1,2000,50,50,20,15,0.1,15,1,14
4,1,2000,50,50,20,15,0.25,15,36,17
5,1,2000,50,50,20,15,0.5,15,91,24
6,2,2000,50,50,20,15,0.1,15,10,6
7,2,2000,50,50,20,15,0.25,15,38,4
8,2,2000,50,50,20,15,0.5,15,84,12
0,0,1241,50,50,20,25,0.1,25,0,19
1,0,1674,50,50,20,25,0.25,25,0,33
2,0,2000,50,50,20,25,0.5,25,44,25
3,1,626,50,50,20,25,0.1,25,0,3
4,1,2000,50,50,20,25,0.25,25,12,18
5,1,2000,50,50,20,25,0.5,25,67,18
6,2,759,50,50,20,25,0.1,25,0,4
7,2,2000,50,50,20,25,0.25,25,33,24
8,2,2000,50,50,20,25,0.5,25,65,17
0,0,1782,50,50,20,5,0.1,10,0,5
1,0,999,50,50,20,5,0.25,10,0,39
2,0,999,50,50,20,5,0.5,10,0,34
3,1,999,50,50,20,5,0.1,10,0,6
4,1,999,50,50,20,5,0.25,10,0,17
5,1,999,50,50,20,5,0.5,10,0,33
6,2,2000,50,50,20,5,0.1,10,10,9
7,2,999,50,50,20,5,0.25,10,0,40
8,2,999,50,50,20,5,0.5,10,0,30
0,0,496,50,50,20,15,0.1,30,0,2
1,0,999,50,50,20,15,0.25,30,0,18
2,0,999,50,50,20,15,0.5,30,0,46
3,1,905,50,50,20,15,0.1,30,0,0
4,1,2000,50,50,20,15,0.25,30,23,8
5,1,2000,50,50,20,15,0.5,30,44,38
6,2,289,50,50,20,15,0.1,30,0,12
7,2,2000,50,50,20,15,0.25,30,16,20
8,2,999,50,50,20,15,0.5,30,0,48
0,0,785,50,50,20,25,0.1,50,0,12
1,0,999,50,50,20,25,0.25,50,0,24
2,0,2000,50,50,20,25,0.5,50,16,54
3,1,441,50,50,20,25,0.1,50,0,7
4,1,642,50,50,20,25,0.25,50,0,26
5,1,999,50,50,20,25,0.5,50,0,47
6,2,966,50,50,20,25,0.1,50,0,8
7,2,1566,50,50,20,25,0.25,50,0,21
8,2,999,50,50,20,25,0.5,50,0,51
