RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,1488,50,50,10,25,0.1,0,0,1
1,0,2000,50,50,10,25,0.25,0,18,5
2,0,2000,50,50,10,25,0.5,0,44,3
3,1,1242,50,50,10,25,0.1,0,0,4
4,1,1151,50,50,10,25,0.25,0,0,20
5,1,2000,50,50,10,25,0.5,0,20,0
6,2,1013,50,50,10,25,0.1,0,0,9
7,2,2000,50,50,10,25,0.25,0,15,2
8,2,2000,50,50,10,25,0.5,0,38,0
