RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,2000,50,50,20,5,0.1,5,11,0
1,0,999,50,50,20,5,0.25,5,0,10
2,0,999,50,50,20,5,0.5,5,0,42
3,1,2000,50,50,20,5,0.1,5,15,10
4,1,999,50,50,20,5,0.25,5,0,9
5,1,999,50,50,20,5,0.5,5,0,35
6,2,999,50,50,20,5,0.1,5,0,17
7,2,2000,50,50,20,5,0.25,5,44,1
8,2,999,50,50,20,5,0.5,5,0,48
