RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,2000,50,50,20,5,0.1,5,11,0
1,0,999,50,50,20,5,0.25,5,0,10
2,0,999,50,50,20,5,0.5,5,0,42
3,1,2000,50,50,20,5,0.1,5,15,10
4,1,999,50,50,20,5,0.25,5,0,9
5,1,999,50,50,20,5,0.5,5,0,35
6,2,999,50,50,20,5,0.1,5,0,17
7,2,2000,50,50,20,5,0.25,5,44,1
8,2,999,50,50,20,5,0.5,5,0,48
0,0,1360,50,50,20,15,0.1,15,0,3
1,0,999,50,50,20,15,0.25,15,0,22
2,0,2000,50,50,20,15,0.5,15,45,22
3,1,2000,50,50,20,15,0.1,15,1,14
4,1,2000,50,50,20,15,0.25,15,36,17
5,1,2000,50,50,20,15,0.5,15,91,24
6,2,2000,50,50,20,15,0.1,15,10,6
7,2,2000,50,50,20,15,0.25,15,38,4
8,2,2000,50,50,20,15,0.5,15,84,12
0,0,1241,50,50,20,25,0.1,25,0,19
1,0,1674,50,50,20,25,0.25,25,0,33
2,0,2000,50,50,20,25,0.5,25,44,25
3,1,626,50,50,20,25,0.1,25,0,3
4,1,2000,50,50,20,25,0.25,25,12,18
5,1,2000,50,50,20,25,0.5,25,67,18
6,2,759,50,50,20,25,0.1,25,0,4
7,2,2000,50,50,20,25,0.25,25,33,24
8,2,2000,50,50,20,25,0.5,25,65,17
