RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,785,50,50,20,25,0.1,50,0,12
1,0,999,50,50,20,25,0.25,50,0,24
2,0,2000,50,50,20,25,0.5,50,16,54
3,1,441,50,50,20,25,0.1,50,0,7
4,1,642,50,50,20,25,0.25,50,0,26
5,1,999,50,50,20,25,0.5,50,0,47
6,2,966,50,50,20,25,0.1,50,0,8
7,2,1566,50,50,20,25,0.25,50,0,21
8,2,999,50,50,20,25,0.5,50,0,51
